timestamp,strategy,mode,action,direction,symbol,right,strike,expiry,qty,spot,entry_price,exit_price,pnl,cum_pnl,reason,ref
2026-08-04 10:50:05,HeikinAshi,PAPER,EXIT,SHORT,NIFTY-Aug2026-24650-PE,PE,24650.0,2026-08-11,65,,143.7,162.15,1199.2500000000011,,REVERSAL_TO_LONG,
2026-08-04 10:50:05,HeikinAshi,PAPER,ENTRY,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,24583.55,141.65,,,,,
2026-08-04 10:55:02,HeikinAshi,PAPER,EXIT,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,,141.65,140.5,-74.75000000000037,,REVERSAL_TO_SHORT,
2026-08-04 10:55:02,HeikinAshi,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,24582.5,140.0,,,,,
2026-08-04 10:56:58,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24573.45,31.7,,,,,
2026-08-04 10:57:24,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,31.7,30.95,-48.75,,TRAILING_SL,
2026-08-04 10:57:44,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24570.75,32.75,,,,,
2026-08-04 10:58:37,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,32.75,30.05,-175.49999999999994,,TRAILING_SL,
2026-08-04 11:01:07,HeikinAshi,PAPER,EXIT,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,,140.0,139.0,-65.0,,REVERSAL_TO_LONG,
2026-08-04 11:01:07,HeikinAshi,PAPER,ENTRY,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,24586.4,140.9,,,,,
2026-08-04 11:20:00,OpeningStrike,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,130,24593.3,137.5,,,,,
2026-08-04 11:24:09,HeikinAshi,PAPER,EXIT,LONG,NIFTY-Aug2026-24600-CE,CE,24600.0,2026-08-11,65,,140.9,141.0,6.4999999999996305,,REVERSAL_TO_SHORT,
2026-08-04 11:24:09,HeikinAshi,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,24588.15,141.25,,,,,
2026-08-04 11:24:10,CPR,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,24588.15,141.25,,,,,
2026-08-04 11:34:58,CPR,PAPER,EXIT,SHORT,NIFTY-Aug2026-24600-PE,PE,24600.0,2026-08-11,65,,141.25,149.9,562.2500000000003,,TARGET,
2026-08-04 11:42:02,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24557.9,33.2,,,,,
2026-08-04 11:42:34,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,33.2,31.2,-130.00000000000023,,TRAILING_SL,
2026-08-04 11:42:44,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24556.05,32.85,,,,,
2026-08-04 11:43:16,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,32.85,32.65,-13.000000000000185,,TRAILING_SL,
2026-08-04 11:44:40,Mean Reversion Zscore,PAPER,ENTRY,LONG,NIFTY-Aug2026-24550-CE,CE,24550.0,2026-08-11,65,24557.7,159.2,,,,,
2026-08-04 11:45:23,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24554.85,34.4,,,,,
2026-08-04 11:45:59,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,34.4,35.6,78.00000000000018,,TRAILING_SL,
2026-08-04 11:47:07,LongStrangle,PAPER,ENTRY,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,24548.35,38.0,,,,,
2026-08-04 11:47:44,LongStrangle,PAPER,EXIT,PE,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-04,65,,38.0,39.75,113.75,,TRAILING_SL,
2026-08-04 11:49:03,CPRAlgo3,PAPER,ENTRY,SHORT,NIFTY-Aug2026-24550-PE,PE,24550.0,2026-08-11,65,24538.2,144.25,,,,,
2026-08-04 11:49:35,RSI Reversal,PAPER,ENTRY,LONG,NIFTY-Aug2026-24550-CE,CE,24550.0,2026-08-11,65,24531.05,145.55,,,,,
2026-08-04 11:59:20,DonchianBearish,PAPER,EXIT,SHORT,NIFTY-Aug2026-24450-CE,CE,24450.0,2026-08-04,65,,174.8,92.85,4966.000000000001,,EXIT_TARGET,
2026-08-04 11:59:20,DonchianBearish,PAPER,EXIT,SHORT,NIFTY-Aug2026-24750-CE,CE,24750.0,2026-08-04,65,,7.55,2.0,4966.000000000001,,EXIT_TARGET,
